benchmark,model,provider,item_id,category,proportion,order,trial_index,coordination_tokens,reasoning_tokens,task_tokens_full,task_tokens_used,task_truncated,prediction,answer,correct,score_hits,score_total,score_fraction,input_tokens_used,output_tokens_used,elapsed_ms
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,coord_first,0,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,958
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,coord_first,1,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,946
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,coord_first,2,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,1049
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,coord_first,3,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,945
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,coord_first,4,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,1024
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,coord_first,5,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,1059
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,coord_first,6,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,945
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,coord_first,7,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,1051
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,coord_first,8,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,1156
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,coord_first,9,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,927
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,reason_first,0,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,990
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,reason_first,1,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,987
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,reason_first,2,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,989
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,reason_first,3,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,1070
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,reason_first,4,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,995
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,reason_first,5,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,1039
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,reason_first,6,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,992
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,reason_first,7,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,1041
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,reason_first,8,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,969
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.0,reason_first,9,0,4096,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,3010,60,1008
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.25,coord_first,0,1024,3072,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,4095,60,935
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.25,coord_first,1,1024,3072,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,4095,60,1229
mmlu_pro_pack,gemini-2.5-flash,google,mmlu-pro-pack-20260429-0,"biology,chemistry,computer science,economics,engineering,law,physics",0.25,coord_first,2,1024,3072,2767,2767,False,"[""A"", ""A"", ""D"", ""D"", ""C"", ""I"", ""E"", ""H"", ""H"", ""B""]","[""E"", ""A"", ""D"", ""C"", ""B"", ""F"", ""E"", ""H"", ""C"", ""B""]",False,5,10,0.5,4095,60,909
