benchmark,model,provider,item_id,category,proportion,order,trial_index,coordination_tokens,reasoning_tokens,task_tokens_full,task_tokens_used,task_truncated,prediction,answer,correct,score_hits,score_total,score_fraction,input_tokens_used,output_tokens_used,elapsed_ms
drop_pack,gemini-2.5-flash,google,drop-pack-20260430-0,"number,span",0.0,coord_first,0,0,4096,3019,3019,False,"[""non-armoured"", ""0"", ""2626"", ""1"", ""April 23 and February 3"", ""English American"", ""16"", ""3"", ""Mehmed V"", ""29""]","[[""non-armoured vehicles"", ""non-armoured""], [""0"", ""7""], [""2626""], [""1""], [""April 23, February 3""], [""English American""], [""1"", ""6""], [""3""], [""sultan Mehmed V""], [""29"", ""12""]]",False,7,10,0.7,3199,84,1173
drop_pack,gemini-2.5-flash,google,drop-pack-20260430-0,"number,span",0.0,coord_first,1,0,4096,3019,3019,False,"[""non-armoured"", ""0"", ""2626"", ""1"", ""April 23, February 3"", ""English American"", ""16"", ""3"", ""sultan Mehmed V"", ""29""]","[[""non-armoured vehicles"", ""non-armoured""], [""0"", ""7""], [""2626""], [""1""], [""April 23, February 3""], [""English American""], [""1"", ""6""], [""3""], [""sultan Mehmed V""], [""29"", ""12""]]",False,9,10,0.9,3199,85,1388
drop_pack,gemini-2.5-flash,google,drop-pack-20260430-0,"number,span",0.0,coord_first,2,0,4096,3019,3019,False,"[""non-armoured"", ""0"", ""2626"", ""1"", ""April 23, February 3"", ""English American"", ""16"", ""3"", ""Mehmed V"", ""29""]","[[""non-armoured vehicles"", ""non-armoured""], [""0"", ""7""], [""2626""], [""1""], [""April 23, February 3""], [""English American""], [""1"", ""6""], [""3""], [""sultan Mehmed V""], [""29"", ""12""]]",False,8,10,0.8,3199,84,1235
drop_pack,gemini-2.5-flash,google,drop-pack-20260430-0,"number,span",0.0,coord_first,3,0,4096,3019,3019,False,"[""non-armoured"", ""0"", ""2626"", ""1"", ""April 23, February 3"", ""English American"", ""16"", ""3"", ""Mehmed V"", ""29""]","[[""non-armoured vehicles"", ""non-armoured""], [""0"", ""7""], [""2626""], [""1""], [""April 23, February 3""], [""English American""], [""1"", ""6""], [""3""], [""sultan Mehmed V""], [""29"", ""12""]]",False,8,10,0.8,3199,84,1371
drop_pack,gemini-2.5-flash,google,drop-pack-20260430-0,"number,span",0.0,coord_first,4,0,4096,3019,3019,False,"[""non-armoured"", ""0"", ""2626"", ""1"", ""April 23, February 3"", ""English American"", ""16"", ""3"", ""Mehmed V"", ""29""]","[[""non-armoured vehicles"", ""non-armoured""], [""0"", ""7""], [""2626""], [""1""], [""April 23, February 3""], [""English American""], [""1"", ""6""], [""3""], [""sultan Mehmed V""], [""29"", ""12""]]",False,8,10,0.8,3199,84,1342
drop_pack,gemini-2.5-flash,google,drop-pack-20260430-0,"number,span",0.0,coord_first,5,0,4096,3019,3019,False,"[""non-armoured"", ""0"", ""2626"", ""1"", ""April 23, February 3"", ""English American"", ""16"", ""3"", ""Mehmed V"", ""29""]","[[""non-armoured vehicles"", ""non-armoured""], [""0"", ""7""], [""2626""], [""1""], [""April 23, February 3""], [""English American""], [""1"", ""6""], [""3""], [""sultan Mehmed V""], [""29"", ""12""]]",False,8,10,0.8,3199,84,1234
drop_pack,gemini-2.5-flash,google,drop-pack-20260430-0,"number,span",0.0,coord_first,6,0,4096,3019,3019,False,"[""non-armoured"", ""0"", ""2626"", ""1"", ""April 23 and February 3"", ""English American"", ""16"", ""3"", ""sultan Mehmed V"", ""29""]","[[""non-armoured vehicles"", ""non-armoured""], [""0"", ""7""], [""2626""], [""1""], [""April 23, February 3""], [""English American""], [""1"", ""6""], [""3""], [""sultan Mehmed V""], [""29"", ""12""]]",False,8,10,0.8,3199,85,1160
drop_pack,gemini-2.5-flash,google,drop-pack-20260430-0,"number,span",0.0,coord_first,7,0,4096,3019,3019,False,"[""non-armoured"", ""0"", ""2626"", ""1"", ""April 23, February 3"", ""English American"", ""16"", ""3"", ""sultan Mehmed V"", ""29""]","[[""non-armoured vehicles"", ""non-armoured""], [""0"", ""7""], [""2626""], [""1""], [""April 23, February 3""], [""English American""], [""1"", ""6""], [""3""], [""sultan Mehmed V""], [""29"", ""12""]]",False,9,10,0.9,3199,85,2799
drop_pack,gemini-2.5-flash,google,drop-pack-20260430-0,"number,span",0.0,coord_first,8,0,4096,3019,3019,False,"[""non-armoured"", ""0"", ""2626"", ""1"", ""April 23, February 3"", ""English American"", ""16"", ""3"", ""Mehmed V"", ""29""]","[[""non-armoured vehicles"", ""non-armoured""], [""0"", ""7""], [""2626""], [""1""], [""April 23, February 3""], [""English American""], [""1"", ""6""], [""3""], [""sultan Mehmed V""], [""29"", ""12""]]",False,8,10,0.8,3199,84,1255
drop_pack,gemini-2.5-flash,google,drop-pack-20260430-0,"number,span",0.0,coord_first,9,0,4096,3019,3019,False,"[""non-armoured"", ""0"", ""2626"", ""1"", ""April 23 and February 3"", ""English American"", ""16"", ""3"", ""Mehmed V"", ""29""]","[[""non-armoured vehicles"", ""non-armoured""], [""0"", ""7""], [""2626""], [""1""], [""April 23, February 3""], [""English American""], [""1"", ""6""], [""3""], [""sultan Mehmed V""], [""29"", ""12""]]",False,7,10,0.7,3199,84,1672
